PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Teeter, J; Chow, MY				Teeter, J; Chow, MY			Application of functional link neural network to HVAC thermal dynamic system identification	IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS			English	Article						functional link; HVAC; intelligent control; neural network; system identification	IMPROVE	Recent efforts to incorporate aspects of artificial intelligence into the design and operation of automatic control systems have focused attention on techniques such as fuzzy logic, artificial neural networks, and expert systems, The use of computers for direct digital control highlights the recent trend toward more effective and efficient heating, ventilating, and air-conditioning (HVAC) control methodologies, Researchers in the HVAC field have stressed the importance of self learning in building control systems and have encouraged further studies in the integration of optimal control and other advanced techniques into the formulation of such systems. Artificial neural networks can also be used to emulate the plant dynamics, in order to estimate future plant outputs and obtain plant input/output sensitivity information for on-line neural control adaptation, This paper describes a functional link neural network approach to performing the HVAC thermal dynamic system identification, Methodologies to reduce inputs of the functional link network to reduce the complexity and speed up the training speed will be presented. Analysis and comparison between the functional link network approach and the conventional network approach for the HVAC thermal modeling will also be presented.	N Carolina State Univ, Dept Elect & Comp Engn, Raleigh, NC 27695 USA	Teeter, J (reprint author), Gen Elect Fanuc Co, Charlottesville, VA 22901 USA.			Chow, Mo-Yuen/0000-0001-9090-3614			CHERCHAS DB, 1985, J DYN SYST-T ASME, V107, P324, DOI 10.1115/1.3140743; Chow MY, 1995, MECHATRONICS, V5, P949, DOI 10.1016/0957-4158(95)00063-B; CHOW MY, 1993, IEEE IECON 93 MAUI H; CHOW MY, 1991, 1991 IEEE INT S INT; CHOW MY, 1996, IND ELECT HDB; Cybenko G., 1989, Mathematics of Control, Signals, and Systems, V2, P303, DOI 10.1007/BF02551274; HOUSE JM, 1991, ASHRAE TRAN, V97, P991; HUNT KJ, 1992, AUTOMATICA, V28, P1083, DOI 10.1016/0005-1098(92)90053-I; JORDAN ML, 1991, 40 MIT CTR COGN SCI; KAYA A, 1982, ASHRAE T, V88, P235; Levenhagen JI, 1993, HVAC CONTROLS SYSTEM; Montgomery D.C., 1991, DESIGN ANAL EXPT; Nizet J. L., 1984, ASHRAE T, V90, P587; Pao Y.-H., 1989, ADAPTIVE PATTERN REC; POGGIO T, 1990, P IEEE, V78, P1481, DOI 10.1109/5.58326; Psaltis D., 1988, IEEE Control Systems Magazine, V8, P17, DOI 10.1109/37.1868; SHOURESHI R, 1993, J DYN SYST-T ASME, V115, P392, DOI 10.1115/1.2899079; SHOURESHI R, 1992, T ASME, V45, P105; SHOURESHI R, 1992, INT J FUZZY SETS SYS; Teeter JT, 1996, IEEE T IND ELECTRON, V43, P113, DOI 10.1109/41.481415; TOWNSEND MA, 1986, J DYN SYST-T ASME, V108, P330, DOI 10.1115/1.3143803	21	57	58	0	9	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	0278-0046	1557-9948		IEEE T IND ELECTRON	IEEE Trans. Ind. Electron.	FEB	1998	45	1					170	176		10.1109/41.661318			7	Automation & Control Systems; Engineering, Electrical & Electronic; Instruments & Instrumentation	Automation & Control Systems; Engineering; Instruments & Instrumentation	YV870	WOS:000071871800021					2020-01-29	
B	Nolfi, S			IEEE	Nolfi, S			Adaptation as a more powerful tool than decomposition and integration: Experimental evidences from evolutionary robotics	1998 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AT THE IEEE WORLD CONGRESS ON COMPUTATIONAL INTELLIGENCE - PROCEEDINGS, VOL 1-2			English	Proceedings Paper	IEEE International Conference on Fuzzy Systems at the World Congress on Computational Intelligence (WCCI 98)	MAY 04-09, 1998	ANCHORAGE, AK	IEEE, Neural Networks Council, Int Neural Network Soc, IEEE, Alaska Sect				Recently a new way of building control systems, known as behavior based robotics, has been proposed to overcome the difficulties of the traditional AI approach to robotics. Most of the work done in behavior-based robotics involves a decomposition process (in which the behavior required is broken down into simpler sub-components) and an integration process (in which the modules designed to produce the sub-behaviors are put together). We claim that decomposition and integration should be the result of an adaptation process and not of the decision of the experimenter. In this paper we will support this hypothesis by showing how in Mo different cases a more simple and robust solution can be obtained by letting the entire behavior emerge through an evolutionary technique than by trying to design a set of modules and to coordinate them.	Natl Res Council, Inst Psychol, Rome, Italy	Nolfi, S (reprint author), Natl Res Council, Inst Psychol, Rome, Italy.							0	3	3	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-4863-X				1998							141	146					6	Computer Science, Artificial Intelligence	Computer Science	BL20P	WOS:000074668800025					2020-01-29	
B	Hamdi, M; Lachiver, G			IEEE	Hamdi, M; Lachiver, G			A fuzzy control system based on the human sensation of thermal comfort	1998 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AT THE IEEE WORLD CONGRESS ON COMPUTATIONAL INTELLIGENCE - PROCEEDINGS, VOL 1-2			English	Proceedings Paper	IEEE International Conference on Fuzzy Systems at the World Congress on Computational Intelligence (WCCI 98)	MAY 04-09, 1998	ANCHORAGE, AK	IEEE, Neural Networks Council, Int Neural Network Soc, IEEE, Alaska Sect				Unlike the majority of the existing residential Heating, Ventilating and Air Conditioning (HVAC) control systems which are considered as temperature control problems, this paper presents a new HVAC control technique that is based on the human sensation of thermal comfort. The proposed HVAC control strategy goal is not to maintain a constant indoor air temperature but a constant indoor thermal comfort. This is realized by the implementation of a fuzzy reasoning that rakes into account the vagueness and the subjectivity of the human sensation of thermal comfort in the formulation of the control action that should be applied to the HVAC system in order to bring the indoor climate into comfort conditions. Simulation results show that the proposed control strategy makes it possible to maximize both thermal comfort of the occupants and the energy economy of HVAC systems.	Univ Sherbrooke, Dept Elect & Comp Engn, Sherbrooke, PQ J1K 2R1, Canada	Hamdi, M (reprint author), Univ Sherbrooke, Dept Elect & Comp Engn, Sherbrooke, PQ J1K 2R1, Canada.							0	21	21	1	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-4863-X				1998							487	492					6	Computer Science, Artificial Intelligence	Computer Science	BL20P	WOS:000074668800086					2020-01-29	
S	Ahmed, O; Mitchell, J; Klein, S		Rauch, HE		Ahmed, O; Mitchell, J; Klein, S			Feedforward-feedback HVAC controller using general regression neural network (GRNN)	ARTIFICIAL INTELLIGENCE IN REAL-TIME CONTROL 1997	IFAC SYMPOSIA SERIES		English	Proceedings Paper	IFAC Symposium on Artificial Intelligence in Real-Time Control	SEP 22-25, 1997	KUALA LUMPUR, MALAYSIA	Int Federat Automat Control, Coordinating Comm Comp Control, Int Federat Automat Control, Tech Comm Artificial Intelligence in Real Time Control, IEEE, Control Syst Soc, Min Sci Environm & Technol, Malaysia, Malaysia Airlines, Sharp Electr Sdn Bhd, BP Malaysia Sdn Bhd, EPE Power Corp Berhad, Kosijaya Comp Syst Sdn Bhd, Univ Teknol Malaysia, Fac Elect Engn, Ctr Artificial Intelligence & Robot		HVAC; neural network; control; feedforward-feedback		A combined feedback and feedforward algorithm is explored for use in local HVAC control systems. A simple yet effective general regression neural network is suggested in order to identify the characteristics of the HVAC components and for subsequent use in the feedforward algorithm. Simulated results show that the combined controller can perform exceedingly well over a wide range of operating conditions. The combined controller deserves further investigation into on-line implementation in order to provide significant customer benefits. Copyright (C) 1998 IFAC.	Landis & Staefa, Buffalo Grove, IL 60089 USA	Ahmed, O (reprint author), Landis & Staefa, 1000 Deerfield Pkwy, Buffalo Grove, IL 60089 USA.							0	0	0	0	0	PERGAMON PRESS LTD	OXFORD	THE BOULEVARD LANGFORD LANE KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0962-9505		0-08-042927-0	IFAC SYMP SERIES			1998							71	77					7	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Automation & Control Systems; Computer Science	BL97U	WOS:000077333600012					2020-01-29	
S	Kuntze, HB; Bernard, T			IEEE; IEEE	Kuntze, HB; Bernard, T			A new fuzzy-based supervisory control concept for the demand-responsive optimization of HVAC control systems	PROCEEDINGS OF THE 37TH IEEE CONFERENCE ON DECISION AND CONTROL, VOLS 1-4	IEEE CONFERENCE ON DECISION AND CONTROL - PROCEEDINGS		English	Proceedings Paper	37th IEEE Conference on Decision and Control	DEC 16-18, 1998	TAMPA, FL	IEEE Control Syst Soc, Soc Ind & Appl Math, Inst Operat Res & Management Sci				In many cases the user of multi-variable control systems is interested in operating them in a demand- or event-responsive manner according to various, sometimes opposing performance criteria. E.g, within well isolated low-energy houses there is an increasing requirement to coordinate the control of heating, ventilation and air conditioning systems (HVAC) in such a way that both economy and comfort criteria can be considered with a user-specific tradeoff. In order to find an on-line solution of this multiobjective process optimization problem, a new supervisory control concept has been developed at IITB. By means of a simple slide button the user is enable to choose his individual weighting factors for the economy and comfort criteria which are taken to optimize the reference commands of heating and ventilation controllers. The disturbing influence of external climate changes is considered as well as variations of the room occupancy. The performance of the fuzzy-based multiobjective optimization concept which has been implemented and is being trialled in a test environment at IITB is analyzed and discussed by means of practice-relevant simulation results.	Fraunhofer Inst Informat & Datenverarbeitung IITB, D-76131 Karlsruhe, Germany	Kuntze, HB (reprint author), Fraunhofer Inst Informat & Datenverarbeitung IITB, Fraunhoferstr 1, D-76131 Karlsruhe, Germany.						ASHRAE, 621989 ASHRAE; Bellman B. E., 1970, MANAGE SCI, V17, P141, DOI [10.1287/ mnsc.17.4.B141, DOI 10.1287/MNSC.17.4.B141]; BERNARD T, 1998, AUTOMATISIERUNGSTECH, V40, P23; KUNTZE HB, 1986, P 25 IEEE C DEC CONT; RECKNAGEL, 1995, TASCHENBUCH HEIZUNG, P1247; Rommelfanger H., 1994, FUZZY DECISION SUPPO; SAJIDMAN M, 1997, P 6 IEEE INT C FUZZ; VONALTROCK C, 1993, IEEE C IND FUZZ CONT, P115; Zimmermann H.J., 1987, FUZZY SETS DECISION	9	7	7	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0191-2216		0-7803-4394-8	IEEE DECIS CONTR P			1998							4258	4263					6	Automation & Control Systems; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Operations Research & Management Science; Mathematics, Applied	Automation & Control Systems; Computer Science; Engineering; Operations Research & Management Science; Mathematics	BM76E	WOS:000079708900823					2020-01-29	
B	Fargus, RS; Chapman, C			INST ELECTR ENGINEERS; INST ELECTR ENGINEERS	Fargus, RS; Chapman, C			A commercial PI-neural controller for the control of building services plant	UKACC INTERNATIONAL CONFERENCE ON CONTROL '98, VOLS I&II			English	Proceedings Paper	UKACC International Conference on Control 98	SEP 01-04, 1998	UNIV WALES UNIV COLL SWANSEA, SWANSEA, WALES	Inst Chem Engineers, Proc Control Subject Grp, Inst Measurement & Control, Inst Elect Engineers, Inst Mech Engineers, British Comp Soc, Engn & Phys Sci Res Council, IEEE, UKRI Control Syst Chapter, Inst Marine Engineers, Inst Math & Applicat, Inst Phys, Inst Civil Engineers, Soc Underwater Technol	UNIV WALES UNIV COLL SWANSEA	HVAC; neural network; PI-control		This paper discusses some of the practical issues relating to the development of an implementation of a hybrid PI/neural network controller for commercial application in heating, ventilation and air-conditioning (HVAC) control systems. To ensure commercial application it is necessary that such a controller is no more complex to commission than a standard PI controller, therefore the commissioning of the neural network must be entirely automated. Methods for incrementally training the network are introduced which avoid the control problems resulting from using an initially untrained network. Results are presented from testing the controller on a full-scale test-rig.									0	1	1	0	0	INST ELECTRICAL ENGINEERS INSPEC INC	EDISON	379 THORNALL ST, EDISON, NJ 08837 USA			0-85296-708-X				1998							1688	1693					6	Automation & Control Systems; Engineering, Chemical; Engineering, Industrial; Engineering, Manufacturing; Engineering, Electrical & Electronic; Engineering, Mechanical	Automation & Control Systems; Engineering	BL88R	WOS:000077043300290					2020-01-29	
J	Nolfi, S				Nolfi, S			Using emergent modularity to develop control systems for mobile robots	ADAPTIVE BEHAVIOR			English	Article						autonomous robots; behavior-based robotics; modularity; neural networks; genetic algorithms		A new way of building control systems, known as behavior-based robotics, has recently been proposed to overcome the difficulties of the traditional artificial intelligence approach to robotics. This new approach is based on she idea of providing the robot with a range of simple behaviors and letting the environment determine which behavior should have control at any given time. We will present a set of experiments in which neural networks with different architectures have been trained so control a mobile robot designed to keep an arena clear by picking up trash objects and releasing them outside the arena. Controller weights are selected using a form of genetic algorithm and do not change during the lifetime (i.e., no learning occurs). We will compare, in simulation and on a real robot, five different network architectures and will show that a network that allows for fine-grained modularity achieves significantly better performance. By comparing the functionality of each network module and ifs interaction with a description of the simple behavior components, we will show that it is not possible to find simple correlations; rather module switching and interaction are correlated with low-level sensorimotor mappings. This implies that the engineering-oriented approach to behavior-based robotics might have serious limitations because it is difficult to know in advance the appropriate mappings between behavior components and sensorimotor activity for complex tasks.		Nolfi, S (reprint author), CNR,INST PSYCHOL,VIALE MARX 15,I-00187 ROME,ITALY.						ACKLEY D, 1991, ARTIFICIAL LIFE, V2; BRAITENBERG V, 1984, VEHICLES EXPT SYNTHE; BROOKS RA, 1986, IEEE T ROBOTIC AUTOM, V2, P14, DOI 10.1109/JRA.1986.1087032; Cliff Dave, 1993, Adaptive Behavior, V2, P73, DOI 10.1177/105971239300200104; COLOMBETTI M, 1996, IEEE T SYSTEMS MAN B, V26, P29; DORIGO M, 1993, IEEE T SYST MAN CYB, V23, P141, DOI 10.1109/21.214773; ELMAN JL, 1990, COGNITIVE SCI, V14, P179, DOI 10.1207/s15516709cog1402_1; Floreano D, 1996, ANIMALS ANIMATS, V4; GRUAU F, 1995, ADAPT BEHAV, V2, P151; HOLLAND JH, 1975, ADAPTATION NATURAL; MAES P, 1992, PRACTICE AUTONOMOUS; MAHADEVAN S, 1992, ARTIF INTELL, V55, P311, DOI 10.1016/0004-3702(92)90058-6; Mataric M., 1992, P IEEE INT C ROB AUT; MATARIC MJ, IN PRESS ROBOTICS AU; Miglino O, 1995, Artif Life, V2, P417, DOI 10.1162/artl.1995.2.4.417; MONDADA F, 1993, P 3 INT S EXPT ROB K; MONTANA DJ, 1989, P 11 JOINT C ART INT, V1; NOLFI S, 1994, ADAPT BEHAV, V1, P5; NOLFI S, 1996, [No title captured]; NOLFI S, 1994, P 4 INT C ART LIF; NOLFI S, IN PRESS ROBOTICS AU; NOLFI S, 1994, P INT C PERC ACT LOS; NOLFI S, 1993, NEURAL NETWORKS ROBO; Parisi D, 1990, NETWORK-COMP NEURAL, V1, P149, DOI 10.1088/0954-898X/1/2/003; SCHEIER C, 1995, ADV ART LIF P 3 EUR; SCHEIER C, 1995, ADAPTIVE CLASSIFICAT; SHARKEY NE, IN PRESS CURRENT PER	27	68	69	1	2	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142	1059-7123			ADAPT BEHAV	Adapt. Behav.	WIN-SPR	1997	5	3-4					343	363		10.1177/105971239700500306			21	Computer Science, Artificial Intelligence; Psychology, Experimental; Social Sciences, Interdisciplinary	Computer Science; Psychology; Social Sciences - Other Topics	XK452	WOS:A1997XK45200006					2020-01-29	
J	Shavit, G; Wruck, RA				Shavit, G; Wruck, RA			Understanding the control loop	ASHRAE JOURNAL-AMERICAN SOCIETY OF HEATING REFRIGERATING AND AIR-CONDITIONING ENGINEERS			English	Article								HVAC control system end users expect the control system to provide proper performance of the controlled processes. That expectation is not always achievable. This paper explains how control loops operate and reasons why control systems might not provide the desired results along with some examples.		Shavit, G (reprint author), HONEYWELL INC,TECHNOL CTR HOME & BLDG CONTROL,ARLINGTON HTS,IL 60005, USA.							0	1	1	0	0	AMER SOC HEAT REFRIG AIR- CONDITIONING ENG INC	ATLANTA	1791 TULLIE CIRCLE NE, ATLANTA, GA 30329	0001-2491			ASHRAE J	ASHRAE J.-Am. Soc. Heat Refrig. Air-Cond. Eng.	SEP	1997				S			35	39					5	Thermodynamics; Construction & Building Technology; Engineering, Mechanical	Thermodynamics; Construction & Building Technology; Engineering	XY144	WOS:A1997XY14400007					2020-01-29	
J	Hittle, DC				Hittle, DC			Dynamic response and tuning	ASHRAE JOURNAL-AMERICAN SOCIETY OF HEATING REFRIGERATING AND AIR-CONDITIONING ENGINEERS			English	Article								HVAC control systems can be especially difficult to adjust or tune because She process gain of the control loop varies with a range of variables, including the control point. For example, if the air flow rate over a hot-water heating coil is cut in half, the ratio of the change in outlet temperature to the change in valve position, called the gain of the coil, will increase significantly. This phenomenon is common in multizone and variable air volume applications.		Hittle, DC (reprint author), COLORADO STATE UNIV,SOLAR ENERGY APPLICAT LAB,FT COLLINS,CO 80523, USA.						BEKKER J, 1991, ASHRAE T 2, V97; Nesler C.G., 1986, ASHRAE T, V92, P189; Stoecker W. F., 1989, MICROCOMPUTER CONTRO; Ziegler J.G., 1942, Transactions of the ASME, V64, P759	4	1	1	0	0	AMER SOC HEAT REFRIG AIR- CONDITIONING ENG INC	ATLANTA	1791 TULLIE CIRCLE NE, ATLANTA, GA 30329	0001-2491			ASHRAE J	ASHRAE J.-Am. Soc. Heat Refrig. Air-Cond. Eng.	SEP	1997				S			40	43					4	Thermodynamics; Construction & Building Technology; Engineering, Mechanical	Thermodynamics; Construction & Building Technology; Engineering	XY144	WOS:A1997XY14400008					2020-01-29	
B	Chow, MY; Teeter, J			IEEE	Chow, MY; Teeter, J			Reduced-order functional link neural network for HVAC thermal system identification and modeling	1997 IEEE INTERNATIONAL CONFERENCE ON NEURAL NETWORKS, VOLS 1-4			English	Proceedings Paper	1997 IEEE International Conference on Neural Networks (ICNN 97)	JUN 09-12, 1997	HOUSTON, TX	IEEE, Neural Networks Council		neural network; system identification; modeling, functional link; HVAC; thermal system; intelligent control		The use of computers for direct digital control highlights the recent trend toward more effective ard efficient HVAC control methodologies. Researchers in the HVAC field have stressed the importance of self-learning in building control systems and the integration of optimal control and other advanced techniques into the formulation of such systems. This paper describes a functional link neural network approach to perform the HVAC thermal system identification and modeling. Artificial neural networks are used to emulate the plant dynamics in order to estimate future plant outputs and obtain plant input/output sensitivity information for on-line neural control adaptation. Methodologies to appropriately reduce the inputs, thus the complexity, of the functional link network in order to speed up the training will be presented. This paper will also analyze and compare the performance and complexity between the functional link network and conventional network approaches for the HVAC thermal system identification and modeling.		Chow, MY (reprint author), N CAROLINA STATE UNIV,DEPT ELECT & COMP ENGN,RALEIGH,NC 27695, USA.							0	2	2	0	0	I E E E	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017			0-7803-4123-6				1997							5	9					5	Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic	Computer Science; Engineering	BJ42Y	WOS:A1997BJ42Y00003					2020-01-29	
B	Kostro, K		Zhao, JJ; Daneels, A		Kostro, K			Building controls software around an object oriented database	ACCELERATOR AND LARGE EXPERIMENTAL PHYSICS CONTROL SYSTEMS			English	Proceedings Paper	1997 International Conference on Accelerator and Large Experimental Physics Control Systems	NOV 03-07, 1997	BEIJING, PEOPLES R CHINA	Chinese Phys Soc, Chinese Assoc Automat, Chinese High Energy Phys Soc, Chinese Particle Accelerator Soc, European Phys Soc, Int Federat Automat Control, Assoc Asian Pacific Phys Soc, Asian Comm Future Accelerators, Hewlitt Packard Co, IEEE, Nucl & Plasma Sci Soc				The use of Object Oriented (OO) techniques has become popular in all areas of software technology and HEP control systems have not been excluded from this trend. in the course of modernisation of the CERN SPS Experimental Areas control software we designed and implemented an OO database to hold the configuration data for equipment and beams. With the beam lines and equipment defined in the new database, control facilities are being added by incrementally enhancing the classes and adding new methods to the database scheme. Using the OO database helps to design the new system in a transparent way. Real-world objects such as beam lines or crates are uniquely mapped to the corresponding objects in the database. The new database allows seamless integration of data into programs written in OO languages such as C++ and Java. The WWW interface to the database gives a familiar look and feel and has been provided with relatively little effort. In this paper we present an overview of the project and the employed methods. The choice of the database management system, the implementation of the Beam Instrumentation (BI) database and its use in controls as well as the benefits of the approach will be discussed in some detail.	CERN, SL Div, CH-1112 Geneva 23, Switzerland	Kostro, K (reprint author), CERN, SL Div, CH-1112 Geneva 23, Switzerland.						CHARRUE P, 1993, EQUIPMENT ACCESS SOF; CLAYTON MJ, 1995, P 1995 ICALEPCS C CH	2	0	0	0	0	SCIENCE PRESS BEIJING	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100707, PEOPLES R CHINA							1997							375	378					4	Physics, Multidisciplinary; Physics, Particles & Fields	Physics	BN36V	WOS:000081716600115					2020-01-29	
B	Keeney, KR; Braun, JE			AMER SOC HEATING REFRIGERATING & AIR CONDITIONING ENGINEERS INC	Keeney, KR; Braun, JE			Application of building precooling to reduce peak cooling requirements	ASHRAE TRANSACTIONS 1997, VOL 103, PT I	ASHRAE TRANSACTIONS		English	Proceedings Paper	1997 Winter Meeting of the American-Society-of-Heating-Refrigerating-and-Air-Conditioning-Engineers	FEB 24-28, 1997	PHILADELPHIA, PA	Amer Soc Heating Refrigerating & Air Conditioning Engineers				A building cooling control strategy was developed and tested for a 1.4-million-ft(2) (130,000-m(2)) office building located in Hoffman Estates, Illinois. The goal of the control strategy was to utilize building thermal mass to limit the peak cooling load for continued building operation in the event of the loss of one of the four central chiller units. The algorithm was first developed and evaluated through simulation and then evaluated through tests on two identical buildings. The east building utilized the existing building control strategy, while the west building used the precooling strategy developed for this project. Consistent with simulation predictions, the precooling control strategy successfully limited the peak load to 75% of the cooling capacity for the west building, while the east building operated at 100% of capacity. Precooling of the building mass provided an economical alternative to the purchase of an additional chiller unit. The estimated cost of installing an additional chiller was approximately $500,000. Computer models developed for this project also showed that precooling based upon cooling cost minimization could result in savings of approximately $25,000 per month during the peak cooling season. The building model was validated with experimental results and could be used in the development of a cost minimization strategy.		Keeney, KR (reprint author), PURDUE UNIV,DEPT ENGN MECH,W LAFAYETTE,IN 47907, USA.							0	60	61	0	0	AMER SOC HEATING, REFRIGERATING AND AIR-CONDITIONING ENGS	ATLANTA	1791 TULLIE CIRCLE NE, ATLANTA, GA 30329				ASHRAE TRAN			1997	103		1				463	469					7	Thermodynamics; Engineering, Mechanical	Thermodynamics; Engineering	BJ30H	WOS:A1997BJ30H00049					2020-01-29	
B	Mahdavi, A		Junge, R		Mahdavi, A			Modeling-assisted building control	CAAD FUTURES 1997			English	Proceedings Paper	7th International Conference on Computer Aided Architectural Design Futures	AUG 04-06, 1997	MUNICH, GERMANY	Tech Univ Munich				The architectural research on provision of computational support for the building delivery process in general and computer aided performance modeling in particular has traditionally concentrated on the building design phase. This paper argues that computational modeling can also successfully apply to the building operation phase. To demonstrate this potential the paper explores a simulation-assisted building control strategy. Specifically, the use of generate-and-test as well as bi-directional inference methods is proposed to derive preferable control schemes and required attributes for control variables based on parametric and iterative simulation runs. The feasibility of the approach is demonstrated via illustrative computational examples from the thermal control domain.	Carnegie Mellon Univ, Dept Architecture, Pittsburgh, PA 15213 USA	Mahdavi, A (reprint author), Carnegie Mellon Univ, Dept Architecture, Pittsburgh, PA 15213 USA.							0	0	0	0	0	SPRINGER	DORDRECHT	PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS			0-7923-4726-9				1997							219	229					11	Architecture; Computer Science, Interdisciplinary Applications	Architecture; Computer Science	BK46P	WOS:000072280800017					2020-01-29	
J	Wolkenhauer, O; Edmunds, J				Wolkenhauer, O; Edmunds, J			Dynamic systems reliability evaluation using uncertainty techniques for performance monitoring	IEE PROCEEDINGS-CONTROL THEORY AND APPLICATIONS			English	Article; Proceedings Paper	IEE Colloquia on Adaptive Controllers in Practice	MAR   13, 1996	LONDON, ENGLAND			building control systems; fuzzy systems; supervisory control; possibility theory		The authors suggest the use of fuzzy measures and fuzzy integrals in evaluating the reliability of control systems by approximating an experts view on a complex system when assessing the performance. The class of systems considered have structural complexity exhibiting a closed-form model of the underlying process. The approach may be described in three parts where in the first stage a rule-based classifier ('spy') extracts 'states of performance' from the process. It is shown that the rule-premise resembles a possibility based control chart and that the possibilistic version, embedded in a rule-based system, offers a comprehensive man-process interface while having a similar or slightly improved speed of detection. The reliability can be quantified based on a finite set of abstract states over which a certainty measure is defined. A prediction for a specified reliability interval of time is done by using a qualitative model akin to Markov stochastic processes and consequently decisions are made to alter the system structure. This framework allows distinct classes of uncertainty to be considered.		Wolkenhauer, O (reprint author), UMIST,CONTROL SYST CTR,MANCHESTER M60 1QD,LANCS,ENGLAND.			Wolkenhauer, Olaf/0000-0001-6105-2937			De Cooman G., 1995, P FAPT 95; Dubois D., 1980, FUZZY SETS SYSTEMS; DUBOIS D, 1988, POSSIBILITY THEORY; EDMUNDS JM, 1994, 2 UK JAP WORKSH FUZZ; GARCIASANZ M, 1994, IEE P CONTROL THEOR, V141; GARCIASANZ M, 1995, 83 UMIST CSC; Goodman I. R., 1991, CONDITIONAL INFERENC; HIROTA K, 1981, FUZZY SET SYST, V5, P31, DOI 10.1016/0165-0114(81)90032-4; Hisdal E., 1978, Fuzzy Sets and Systems, V1, P283, DOI 10.1016/0165-0114(78)90019-2; LINKENS DA, 1992, INT J CONTROL, V56, P347, DOI 10.1080/00207179208934318; NGUYEN HT, 1991, THEORETICAL ASPECTS; Papoulis A., 1991, PROBABILITY RANDOM V; Viswanadham N., 1987, RELIABILITY COMPUTER; YOSHIDA Y, 1994, FUZZY SET SYST, V66, P39, DOI 10.1016/0165-0114(94)90300-X	14	0	0	0	3	IEE-INST ELEC ENG	HERTFORD	MICHAEL FARADAY HOUSE SIX HILLS WAY STEVENAGE, HERTFORD, ENGLAND SG1 2AY	1350-2379			IEE P-CONTR THEOR AP	IEE Proc.-Control Theory Appl.	JAN	1997	144	1					103	108		10.1049/ip-cta:19970786			6	Automation & Control Systems; Engineering, Electrical & Electronic; Instruments & Instrumentation	Automation & Control Systems; Engineering; Instruments & Instrumentation	XL960	WOS:A1997XL96000015					2020-01-29	
B	Torcellini, PA; Hayter, SJ; Judkoff, R; Jenior, MM		CampbellHowe, R; WilkinsCrowder, B		Torcellini, PA; Hayter, SJ; Judkoff, R; Jenior, MM			Designing and constructing low-energy commercial buildings	PROCEEDINGS OF THE 22ND NATIONAL PASSIVE SOLAR CONFERENCE	PROCEEDINGS OF THE NATIONAL PASSIVE SOLAR CONFERENCE		English	Proceedings Paper	22nd National Passive Solar Conference	APR 25-30, 1997	WASHINGTON, DC	Amer Solar Energy Soc, Amer Inst Architects, Comm Environm				Successful low-energy building design and construction begins with a strong commitment towards energy efficiency from the architect, engineer, and building owner. Low-energy building design is achieved through a whole building approach where the designers, builders, and operators understand how a building interacts with its systems, its activities, and its surrounding environment. The whole-building design approach was followed when designing, constructing, and commissioning the Thermal Test Facility (TTF) at the National Renewable Energy Laboratory (NREL) in Golden, Colorado. The projected savings for this laboratory building are over 70% when compared with a building compliant with the Federal Energy Code (10CFR435). The TTF uses managed glazing, engineered overhangs, a good thermal package, evaporative cooling, passive solar strategies including direct solar gain heating and daylighting, and a well-engineered automatic building control system. This paper discusses the important steps to designing, constructing, and commissioning low-energy commercial buildings, experiences gained from constructing the TTF, and preliminary TTF operating data.		Torcellini, PA (reprint author), CTR BLDG & THERMAL SYST,NATL RENEWABLE ENERGY LAB,1617 COLE BLVD,GOLDEN,CO 80401, USA.							0	0	0	0	2	AMERICAN SOLAR ENERGY SOCIETY INC	BOULDER	2400 CENTRAL AVE, SUITE G-1, BOULDER, CO 80301			0-89553-212-3	P NATL SOL			1997	22						255	260					6	Architecture; Construction & Building Technology; Energy & Fuels	Architecture; Construction & Building Technology; Energy & Fuels	BJ39N	WOS:A1997BJ39N00043					2020-01-29	
